dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error
adult,tvae,fixed,0.0,0,2,2000,11.7387,50.08,False,0.09982090364456053,0.6021545447329409,0.2054814584297812,0.0533389994472084,0.16464747898482684,0.8350515463917526,0.821,0.9999902451176813,0.7981106291591198,0.8976610190471932,0,,ok,
adult,tvae,fixed,0.0,0,3,2000,11.2377,49.69,False,0.09836386163006522,0.6025113343407799,0.19163992120033924,0.05754999309010504,0.15654086305141024,0.7835051546391752,0.8045,0.9999992507494379,0.8379538307796464,0.8976610190471932,0,,ok,
adult,tvae,fixed,1.0,0,0,2000,14.5967,48.7,True,0.08460387967506056,0.6360754703755883,0.18389458313899532,0.029654090657821996,0.14070039192184372,0.8969072164948454,0.8765,1.0,0.8390859204032224,0.8976610190471932,0,,ok,
adult,tvae,fixed,1.0,0,1,2000,11.8774,49.21,False,0.08284472922068689,0.6630784408017325,0.19641190384936047,0.04735506495301271,0.15546030453411525,0.8762886597938144,0.875,1.0,0.8424419986826928,0.8976610190471932,0,,ok,
adult,tvae,fixed,1.0,0,2,2000,11.1696,50.1,False,0.08629515966953143,0.6576700485478525,0.18918010691649342,0.03529408512990602,0.16050763502466714,0.9175257731958762,0.881,1.0,0.8443910456673953,0.8976610190471932,0,,ok,
adult,tvae,fixed,1.0,0,3,2000,11.4861,49.72,False,0.0714169217580365,0.6407578338976797,0.19658369272040668,0.04251789662797126,0.1192142172539321,0.8762886597938144,0.84925,0.999997748873311,0.8454288873710147,0.8976610190471932,0,,ok,
adult,ctgan,fixed,0.0,0,0,2000,35.5306,48.78,True,0.03756136625103464,0.7870407568667296,0.1563799092983627,0.038304173576561636,0.4919278459844654,0.845360824742268,0.80575,0.999472071978922,0.7394798996559607,0.8976610190471932,0,10,ok,
adult,ctgan,fixed,0.0,0,1,2000,35.5482,49.72,False,0.07136679969066109,0.8784172794901813,0.17596901429266376,0.04818221393034826,0.564860531373507,0.6804123711340206,0.77775,0.9995970955727209,0.7847276212165935,0.8976610190471932,0,13,ok,
adult,ctgan,fixed,0.0,0,2,2000,34.7171,50.26,False,0.09018071715146757,1.1813613560214786,0.20996787473087644,0.06239534964068546,0.5147514115747223,0.5360824742268041,0.73375,0.9996724582542619,0.7127934126244089,0.8976610190471932,0,10,ok,
adult,ctgan,fixed,0.0,0,3,2000,44.2942,49.83,False,0.11384077592432047,1.368410622874822,0.220075997392663,0.07177453012714208,0.47810813781320294,0.5154639175257731,0.722,0.9999482477111727,0.794784284049528,0.8976610190471932,0,4,ok,
adult,ctgan,fixed,1.0,0,0,2000,35.5306,48.78,True,0.03756136625103464,0.7870407568667296,0.1563799092983627,0.038304173576561636,0.4919278459844654,0.845360824742268,0.80575,0.999472071978922,0.7394798996559607,0.8976610190471932,0,10,ok,
adult,ctgan,fixed,1.0,0,1,2000,44.1929,49.37,False,0.06967082034379252,0.7917208083865873,0.15813130060033864,0.03111214759535655,0.398416552499571,0.8247422680412371,0.82675,0.9995830510621841,0.7655659864600324,0.8976610190471932,0,11,ok,
adult,ctgan,fixed,1.0,0,2,2000,36.3309,50.34,False,0.06830710757436828,0.8507491965919588,0.15236987333584104,0.02938301547816474,0.38260506412058165,0.8350515463917526,0.83675,0.9996941291455204,0.7697203364260639,0.8976610190471932,0,10,ok,
adult,ctgan,fixed,1.0,0,3,2000,38.4266,49.96,False,0.08116300501929673,1.0019370941295835,0.17472206408403565,0.03357822001105583,0.4889681338026303,0.8350515463917526,0.82675,0.9998350962512811,0.8250835643035692,0.8976610190471932,0,10,ok,
