dataset,synth,regime,n,axis,eps_frac_of_worst,eps_abs,worst_degradation,alpha_star,T,n_seeds
adult,ctgan,fresh,2000,var_ratio,0.25,0.1454965242664264,0.5819860970657056,0.11465875408812422,8,2
adult,ctgan,fresh,2000,w1,0.05,0.009555245276633382,0.19110490553266762,0.8425252313345872,8,2
adult,ctgan,fresh,2000,w1,0.1,0.019110490553266763,0.19110490553266762,0.6850504626691742,8,2
adult,ctgan,fresh,2000,w1,0.25,0.047776226383166906,0.19110490553266762,0.3976025638526862,8,2
adult,ctgan,fresh,2000,tv_cat,0.05,0.0035653183734107247,0.07130636746821449,0.8339257148650738,8,2
adult,ctgan,fresh,2000,tv_cat,0.1,0.007130636746821449,0.07130636746821449,0.6678514297301478,8,2
adult,ctgan,fresh,2000,tv_cat,0.25,0.017826591867053623,0.07130636746821449,0.41075923120968016,8,2
adult,ctgan,fresh,2000,corr_frob,0.05,0.003866160885122663,0.07732321770245326,0.9465609328663165,8,2
adult,ctgan,fresh,2000,corr_frob,0.1,0.007732321770245326,0.07732321770245326,0.893121865732633,8,2
adult,ctgan,fresh,2000,corr_frob,0.25,0.019330804425613315,0.07732321770245326,0.7328046643315824,8,2
adult,ctgan,fresh,2000,cat_support,0.05,0.019587628865979385,0.3917525773195877,0.8416666666666667,8,2
adult,ctgan,fresh,2000,cat_support,0.1,0.03917525773195877,0.3917525773195877,0.6833333333333333,8,2
adult,ctgan,fresh,2000,cat_support,0.25,0.09793814432989692,0.3917525773195877,0.4467391304347825,8,2
adult,ctgan,fresh,2000,tstr_auc,0.05,0.0040620214254534,0.08124042850906799,0.9025260439405698,8,2
adult,ctgan,fresh,2000,tstr_auc,0.1,0.0081240428509068,0.08124042850906799,0.8050520878811396,8,2
adult,ctgan,fresh,2000,tstr_auc,0.25,0.020310107127266996,0.08124042850906799,0.512630219702849,8,2
adult,ctgan,fresh,2000,c2st_auc,0.05,1.5836440006289364e-05,0.0003167288001257873,0.9658127021828149,8,2
adult,ctgan,fresh,2000,c2st_auc,0.1,3.167288001257873e-05,0.0003167288001257873,0.9316254043656298,8,2
adult,ctgan,fresh,2000,c2st_auc,0.25,7.918220003144683e-05,0.0003167288001257873,0.8290635109140745,8,2
adult,gaussian_copula,fixed,500,var_ratio,0.05,0.004065208390604586,0.08130416781209171,0.3382110897690783,12,3
adult,gaussian_copula,fixed,500,var_ratio,0.1,0.008130416781209172,0.08130416781209171,0.3264221795381566,12,3
adult,gaussian_copula,fixed,500,var_ratio,0.25,0.020326041953022927,0.08130416781209171,0.29105544884539153,12,3
adult,gaussian_copula,fixed,500,w1,0.05,0.007075321958193082,0.14150643916386163,0.7364107159429982,12,3
adult,gaussian_copula,fixed,500,w1,0.1,0.014150643916386164,0.14150643916386163,0.6628031267626707,12,3
adult,gaussian_copula,fixed,500,w1,0.25,0.03537660979096541,0.14150643916386163,0.4088183740081297,12,3
adult,gaussian_copula,fixed,500,tv_cat,0.05,0.004344647134696886,0.08689294269393771,0.8757913701278512,12,3
adult,gaussian_copula,fixed,500,tv_cat,0.1,0.008689294269393771,0.08689294269393771,0.7515827402557025,12,3
adult,gaussian_copula,fixed,500,tv_cat,0.25,0.02172323567348443,0.08689294269393771,0.37210278412535536,12,3
adult,gaussian_copula,fixed,500,corr_frob,0.05,0.006635497451764722,0.13270994903529443,0.9120803419719006,12,3
adult,gaussian_copula,fixed,500,corr_frob,0.1,0.013270994903529443,0.13270994903529443,0.8241606839438013,12,3
adult,gaussian_copula,fixed,500,corr_frob,0.25,0.03317748725882361,0.13270994903529443,0.6323777558639301,12,3
adult,gaussian_copula,fixed,500,cat_support,0.05,0.010309278350515467,0.20618556701030932,0.8749999999999996,12,3
adult,gaussian_copula,fixed,500,cat_support,0.1,0.020618556701030934,0.20618556701030932,0.7499999999999993,12,3
adult,gaussian_copula,fixed,500,cat_support,0.25,0.05154639175257733,0.20618556701030932,0.5000000000000002,12,3
adult,gaussian_copula,fixed,500,tstr_auc,0.05,0.016549334835880114,0.3309866967176023,0.9541693387435779,12,3
adult,gaussian_copula,fixed,500,tstr_auc,0.1,0.03309866967176023,0.3309866967176023,0.9083386774871558,12,3
adult,gaussian_copula,fixed,500,tstr_auc,0.25,0.08274667417940057,0.3309866967176023,0.7708466937178895,12,3
adult,gaussian_copula,fixed,500,c2st_auc,0.05,0.003938788128478155,0.07877576256956309,0.9153801017619636,12,3
adult,gaussian_copula,fixed,500,c2st_auc,0.1,0.00787757625695631,0.07877576256956309,0.8307602035239271,12,3
adult,gaussian_copula,fixed,500,c2st_auc,0.25,0.019693940642390773,0.07877576256956309,0.4472906098516872,12,3
