dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts,sampled_with_replacement,effective_pool_size,_src,sampled_with_replacement.1
adult,gaussian_copula,fixed,0.0,10,10,2000,9.5503,39.65,False,0.0579467133164062,0.7942497511726064,0.0823686623977165,0.0573883360972913,0.1156518498670229,0.7216494845360825,0.88775,0.9860764495538562,0.4331083337715179,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,11,2000,9.478,39.65,False,0.0741334944171059,0.8042488633287969,0.0890680217005478,0.0579785793255942,0.1329686405611446,0.7319587628865979,0.85775,0.9833789540300604,0.3749871986738285,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,12,2000,9.3732,39.65,False,0.0508335170624789,0.7842902229605931,0.0668401856648523,0.0532924267551133,0.1661402268038385,0.7216494845360825,0.883,0.9866170248344228,0.3941237552882098,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,0,2000,10.4711,39.26,True,0.0158495252855037,0.9637952890324804,0.0268646726081282,0.0285482310668877,0.1160754928460546,0.9072164948453608,0.91125,0.9715974018159508,0.6729243788783429,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,1,2000,9.4707,39.45,False,0.0398628883781143,0.8551862392148846,0.0524277648622652,0.0255334784411277,0.1013884048429644,0.8350515463917526,0.9075,0.9746448446022948,0.5272998033218015,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,2,2000,9.0519,40.02,False,0.0319830645288419,0.8934456085588011,0.0497183995552991,0.0320716901603095,0.0913868783887325,0.845360824742268,0.8845,0.972201496894173,0.4180549248685086,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,3,2000,8.7432,39.65,False,0.0378271784954604,0.8483850633064591,0.0611779416989839,0.038713619402985,0.136461937196021,0.7835051546391752,0.90125,0.977849340881468,0.446872791730258,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,4,2000,8.9815,39.65,False,0.0198669677203116,0.8360717219289779,0.0540546744596944,0.0476797263681592,0.1222002708058595,0.7835051546391752,0.901,0.9830383543995254,0.3631032079959476,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,5,2000,9.3539,39.65,False,0.0542810718016908,0.845426664996241,0.0765059752181773,0.0599262368711995,0.1653740543033987,0.7731958762886598,0.8975,0.9788575047628432,0.4208149956931159,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,6,2000,9.3058,39.65,False,0.044228583319447,0.8856539676336204,0.070612956042405,0.0611295950801547,0.1565908843846385,0.7731958762886598,0.9085,0.9822564394378936,0.3442519849103671,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
