dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts
bank-marketing,gaussian_copula,fixed,0.0,0,5,2000,14.6644,39.8,False,0.0479588867603498,1.0439253005203313,0.0640395150216214,0.034823319449052,0.4274158803933585,1.0,0.869,0.955552437278216,0.63205940249499,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,6,2000,15.7697,39.8,False,0.0593998849190811,1.1825159676724322,0.0760850495347277,0.0343769152321623,0.4714378715703569,0.9772727272727272,0.887,0.9669087987983264,0.5592160040150898,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,7,2000,14.6097,39.8,False,0.044751741271686,1.0475800927184211,0.0625552547080787,0.0416406735719463,0.4651123382641211,0.9772727272727272,0.87975,0.9588101697223298,0.5932361954657421,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,8,2000,14.874,39.8,False,0.0528451677467025,1.1773031789461343,0.0776847782221862,0.0413125130549104,0.4676913480274561,0.9545454545454546,0.88575,0.9616032734428558,0.5566732519504316,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,9,2000,14.1721,39.8,False,0.0599363635765453,1.1367873537436977,0.0788218796741513,0.0442827540024819,0.4821441462615027,0.9545454545454546,0.8705,0.960335273741539,0.6174129067616148,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,3,2000,14.1357,39.8,False,0.0353315668656852,0.9560225090302052,0.0524392217472496,0.0327614483885632,0.3662972825996267,1.0,0.885,0.9481013114380088,0.4866080422531377,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,10,2000,17.0574,39.8,False,0.0447003895306302,1.1387697202191132,0.0719882622138794,0.0395635420890314,0.4641403643229051,0.9772727272727272,0.86925,0.9637788394500744,0.6018742609311174,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,7,2000,3.0494,24.21,False,0.0692152055282935,0.912969516460726,0.0939901839617609,0.0481153846153846,0.1645909004298348,1.0,0.915,0.6000875315867519,0.670952380952381,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,5,2000,2.9256,24.21,False,0.0541611198620725,0.9665547822875694,0.0849897241623564,0.0367692307692307,0.1262328804233064,1.0,0.955,0.5671889309670552,0.6920238095238095,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,4,2000,3.198,24.21,False,0.0712408357581724,0.9809484747991972,0.1048047248791232,0.0468846153846154,0.1479369067851969,1.0,0.935,0.618073135003409,0.6302380952380953,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,5,2000,2.2488,24.21,False,0.0590271113795526,0.9018321593614884,0.0972954222017219,0.0408846153846153,0.1471601979343119,1.0,0.955,0.58652576106352,0.666547619047619,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,6,2000,3.995,24.21,False,0.0598303936847844,0.9201191587949537,0.08636331904404,0.0435384615384615,0.1261665833228384,1.0,0.935,0.6654887030249026,0.7007142857142857,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,7,2000,4.3353,24.21,False,0.0334052759360196,0.9478995530804554,0.0867003991754955,0.0428846153846153,0.1494511325252243,1.0,0.925,0.5799338900252243,0.695,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,8,2000,2.974,24.21,False,0.0409848009484076,0.9735291907700588,0.080270196120461,0.0428846153846153,0.1519816426686503,1.0,0.94,0.6347091993672523,0.6471428571428571,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,9,2000,3.5074,24.21,False,0.0580738535712878,0.9354346377889556,0.1005863891037533,0.0371153846153846,0.1461996128801449,1.0,0.965,0.5186944067541083,0.6688095238095239,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,6,2000,2.6754,24.21,False,0.0461509353570812,0.9159078534105404,0.0846075853367549,0.0456538461538461,0.1378297072530329,1.0,0.945,0.5738303057305062,0.5797619047619047,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,10,2000,2.6506,24.21,False,0.0506084391536833,0.9511940702352414,0.0905743865746923,0.041076923076923,0.1330672074236947,1.0,0.95,0.517177230086564,0.6495238095238095,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,12,2000,3.4997,24.21,False,0.0526394329091428,0.944747704459344,0.0822644603694559,0.0413846153846153,0.1339026932734529,1.0,0.925,0.6018426636604405,0.731547619047619,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,0,2000,4.0503,23.75,True,0.0542425229102352,0.953392825610954,0.0900164304951048,0.044076923076923,0.1321453790199717,1.0,0.925,0.5052890229989807,0.6220238095238095,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,1,2000,2.5191,23.98,False,0.0696197519861086,0.9321116250453808,0.1000454910677555,0.0412307692307692,0.142186735574416,1.0,0.94,0.4988287868662116,0.6683333333333333,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
